Name of Location,Address of Location,House Number,Street,City,State,Zip,Website,Email Address,Phone Number,Social Profiles,Name of Owner/Manager,Owner Email,Owner Phone,Mobile Groomer,Supported Zip Codes
Earth Pups,"2215 W Belmont Ave, Chicago, IL 60618",2215 W Belmont Ave,,Chicago,IL,60618,https://www.yelp.com/biz/earth-pups-chicago?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,17733487877,{},,,,,
DoggieWorks,"2338 W Nelson St, Chicago, IL 60618",2338 W Nelson St,,Chicago,IL,60618,https://www.yelp.com/biz/doggieworks-chicago?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,17736977339,{},,,,,
Tucker Pup's Pet Resort,"219 N Carpenter St, Chicago, IL 60607",219 N Carpenter St,,Chicago,IL,60607,https://www.yelp.com/biz/tucker-pups-pet-resort-chicago?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,13128298787,{},,,,,
South Loop Animal Hospital,"1640 S Michigan Ave, Chicago, IL 60616",1640 S Michigan Ave,,Chicago,IL,60616,https://www.yelp.com/biz/south-loop-animal-hospital-chicago?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,13127535551,{},,,,,
DoGone Fun!,"1717 S State St, Chicago, IL 60616",1717 S State St,,Chicago,IL,60616,https://www.yelp.com/biz/dogone-fun-chicago?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,13127659364,{},,,,,
Rockstar Pets,"1717 N Ashland Ave, Chicago, IL 60622",1717 N Ashland Ave,,Chicago,IL,60622,https://www.yelp.com/biz/rockstar-pets-chicago?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,17739207625,{},,,,,
VIP'S Pet Hotels,"2926 W Lake St, Chicago, IL 60612",2926 W Lake St,,Chicago,IL,60612,https://www.yelp.com/biz/vips-pet-hotels-chicago-3?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,13129830555,{},,,,,
Pupstars Pet Care,"2337 W Lake St, Chicago, IL 60612",2337 W Lake St,,Chicago,IL,60612,https://www.yelp.com/biz/pupstars-chicago?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,17733223160,{},,,,,
Your Pet's Wellness,"2659 N. Milwaukee Ave, Chicago, IL 60647",2659 N. Milwaukee Ave,,Chicago,IL,60647,https://www.yelp.com/biz/your-pets-wellness-chicago-6?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,17732271000,{},,,,,
PetSmart,"1101 S Canal St, Chicago, IL 60607",1101 S Canal St,,Chicago,IL,60607,https://www.yelp.com/biz/petsmart-chicago-5?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,13125880138,{},,,,,
Bark Bark Club,"5943 N Broadway Ave, Chicago, IL 60660",5943 N Broadway Ave,,Chicago,IL,60660,https://www.yelp.com/biz/bark-bark-club-chicago-2?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,17739898807,{},,,,,
